Link ID,Start Node ,Start Node Eastings,Start Node Northings,End Node,End Node Eastings,End Node Northings,Region,Road Type
722-50059,722,114.1552417,22.28599503,50059,114.153534,22.28686612,HK,MAJOR ROUTE
724-722,724,114.1563103,22.2851425,722,114.1552417,22.28599503,HK,URBAN ROAD
752-875,752,114.1655334,22.27957805,875,114.1637781,22.28070681,HK,URBAN ROAD
756-752,756,114.1679935,22.27963601,752,114.1655334,22.27957805,HK,URBAN ROAD
760-756,760,114.1704138,22.27927419,756,114.1679935,22.27963601,HK,URBAN ROAD
762-50078,762,114.1745615,22.27953436,50078,114.177175,22.27990939,HK,MAJOR ROUTE
781-50098,781,114.1799536,22.27525677,50098,114.1811181,22.27707468,HK,MAJOR ROUTE
786-7861,786,114.1819742,22.28155048,7861,114.1812024,22.28124627,HK,URBAN ROAD
787-788,787,114.180648,22.28066998,788,114.1801585,22.28175784,HK,MAJOR ROUTE
787-7882,787,114.180648,22.28066998,7882,114.1801302,22.28178145,HK,MAJOR ROUTE
787-50179,787,114.180648,22.28066998,50179,114.1777957,22.27993524,HK,MAJOR ROUTE
788-868,788,114.1801585,22.28175784,868,114.1808953,22.28182638,HK,MAJOR ROUTE
789-7908,789,114.1815349,22.28205248,7908,114.1834994,22.28232431,HK,URBAN ROAD
793-877,793,114.1881324,22.28445655,877,114.1899633,22.28803318,HK,MAJOR ROUTE
793-7918,793,114.1881946,22.28433724,7918,114.1840393,22.2823418,HK,URBAN ROAD
811-818,811,114.1961078,22.29312356,818,114.2022339,22.29411136,HK,MAJOR ROUTE
818-821,818,114.2022339,22.29411136,821,114.2073299,22.29336546,HK,MAJOR ROUTE
821-50107,821,114.2073299,22.29336546,50107,114.2113764,22.29126286,HK,MAJOR ROUTE
868-870,868,114.1808953,22.28182638,870,114.1820672,22.282859,HK,MAJOR ROUTE
870-4651,870,114.1820672,22.282859,4651,114.1828518,22.28367185,HK,MAJOR ROUTE
875-3402,875,114.1637781,22.28070681,3402,114.1621848,22.28151553,HK,URBAN ROAD
877-46498,877,114.1899633,22.28803318,46498,114.1935119,22.29188801,HK,MAJOR ROUTE
877-793,877,114.190056,22.28795063,793,114.1881946,22.28433724,HK,MAJOR ROUTE
893-4652,893,114.1426289,22.28976189,4652,114.1461486,22.28990414,HK,MAJOR ROUTE
896-724,896,114.1574338,22.28363535,724,114.1563103,22.2851425,HK,URBAN ROAD
910-931,910,114.2136717,22.29003483,931,114.2140709,22.28845345,HK,MAJOR ROUTE
930-931,930,114.2178973,22.28879695,931,114.2128568,22.28807274,HK,MAJOR ROUTE
930-9101,930,114.2178973,22.28879695,9101,114.2135951,22.28989708,HK,MAJOR ROUTE
931-4650,931,114.2128568,22.28807274,4650,114.2123065,22.28981868,HK,MAJOR ROUTE
3006-30069,3006,114.1637255,22.30660137,30069,114.1628547,22.3095659,K,URBAN ROAD
3010-888301,3010,114.1647665,22.31062727,888301,114.1617675,22.3090087,K,URBAN ROAD
3363-3369,3363,114.2084512,22.32527154,3369,114.2060117,22.32517368,K,URBAN ROAD
3368-88810,3368,114.2067321,22.31990273,88810,114.2064473,22.32015576,K,MAJOR ROUTE
3369-33691,3369,114.2060117,22.32517368,33691,114.2061566,22.32430065,K,URBAN ROAD
3369-3370,3369,114.2060117,22.32517368,3370,114.2046146,22.32506864,K,URBAN ROAD
3370-34211,3370,114.2046146,22.32506864,34211,114.2030225,22.32335186,K,URBAN ROAD
3393-88817,3393,114.2002966,22.33453478,88817,114.2041208,22.33520499,K,MAJOR ROUTE
3395-3393,3395,114.1954871,22.33188276,3393,114.2002966,22.33453478,K,MAJOR ROUTE
3402-8979,3402,114.1621848,22.28151553,8979,114.1604478,22.28197459,HK,URBAN ROAD
3417-3681,3417,114.1916394,22.32819901,3681,114.1933803,22.32976971,K,URBAN ROAD
3419-3417,3419,114.1891374,22.32699573,3417,114.1916394,22.32819901,K,URBAN ROAD
3450-34502,3450,114.1840841,22.30917749,34502,114.1838735,22.30898816,K,URBAN ROAD
3453-46312,3453,114.1810101,22.3040565,46312,114.1804252,22.3021163,K,MAJOR ROUTE
3457-3664,3457,114.1799795,22.29884491,3664,114.1786087,22.2976604,K,MAJOR ROUTE
3458-88819,3458,114.1752503,22.29515207,88819,114.1737778,22.29472123,K,URBAN ROAD
3459-3615,3459,114.1724093,22.29463463,3615,114.1707091,22.29463722,K,URBAN ROAD
3460-78201,3460,114.1701931,22.29625387,78201,114.1686315,22.29998301,K,URBAN ROAD
3470-3006,3470,114.1634956,22.30263266,3006,114.1637255,22.30660137,K,URBAN ROAD
3480-88818,3480,114.1787214,22.30950549,88818,114.1837536,22.30466915,K,URBAN ROAD
3480-888302,3480,114.1787214,22.30950549,888302,114.1806891,22.30690928,K,MAJOR ROUTE
3483-88825,3483,114.178544,22.31743267,88825,114.1772496,22.31506972,K,MAJOR ROUTE
3484-4640,3484,114.1769319,22.31331063,4640,114.1768843,22.31303887,K,MAJOR ROUTE
3488-3489,3488,114.1836599,22.32410258,3489,114.1856132,22.32499878,K,URBAN ROAD
3489-88816,3489,114.1856132,22.32499878,88816,114.1874131,22.3260385,K,URBAN ROAD
3491-3010,3491,114.167674,22.3093725,3010,114.1647665,22.31062727,K,URBAN ROAD
3498-3499,3498,114.167185,22.31033191,3499,114.1665406,22.31213126,K,URBAN ROAD
3499-88822,3499,114.1665406,22.31213126,88822,114.1655275,22.31160711,K,URBAN ROAD
3500-3499,3500,114.1689713,22.31265047,3499,114.1665406,22.31213126,K,URBAN ROAD
3502-3500,3502,114.1706765,22.31294945,3500,114.1689713,22.31265047,K,URBAN ROAD
3503-3502,3503,114.1740005,22.31646397,3502,114.1706765,22.31294945,K,URBAN ROAD
3504-888231,3504,114.1755194,22.31850933,888231,114.174364,22.31697177,K,URBAN ROAD
3505-3504,3505,114.1775246,22.32108376,3504,114.1755194,22.31850933,K,URBAN ROAD
3506-3483,3506,114.1789532,22.31826816,3483,114.178544,22.31743267,K,MAJOR ROUTE
3615-3460,3615,114.1707091,22.29463722,3460,114.1701931,22.29625387,K,URBAN ROAD
3632-46322,3632,114.2346825,22.30161132,46322,114.232832,22.30033074,K,MAJOR ROUTE
3633-3632,3633,114.2334068,22.3067294,3632,114.2346825,22.30161132,K,MAJOR ROUTE
